ROI,tvalue,pvalue,fdr-pvalue
A13_L,2.2290929919886238,0.02620652108888855,0.0876682364464584
A13_R,1.1971278975432706,0.23176686173343677,0.28507323993212724
A12/47l_L,0.19418138629645593,0.8461047819969683,0.8600899850051826
A12/47l_R,1.2416432029217763,0.21489176476685298,0.2697110925134992
A4hf_L,2.25204009756593,0.024709108759007867,0.08442278825994355
A4hf_R,3.426162349140533,0.0006574058991722876,0.012059415620389188
A6cdl_L,2.2137123931187848,0.0272536540268373,0.08928002188726601
A6cdl_R,1.6741179156881396,0.09466981561508965,0.16438608087934106
A4ul_L,1.8510659836868362,0.0646901792903156,0.1273102728433411
A4ul_R,1.0049257646664784,0.3153697372985038,0.3642298374433424
A4t_L,2.486393843919277,0.013196939869274353,0.059387611644155534
A4t_R,2.9402056962511116,0.003416361420567224,0.03377928979682406
A4tl_L,1.6102672527350192,0.10790707457600894,0.17463908122169866
A4tl_R,1.6636639406561031,0.09674308944994979,0.16557711508799589
A6cvl_L,1.0603347222314818,0.28945273491489376,0.3409716913793506
A6cvl_R,1.9035290025940796,0.05748763579396472,0.11784965337762768
A1/2/3ll_L,2.314433697213459,0.02100742087596408,0.07599743434539948
A1/2/3ll_R,2.469501866256532,0.01382941295236462,0.05990216016979528
A4ll_L,1.5764164710126118,0.11549863149563619,0.17982698321472468
A4ll_R,1.7785522923299533,0.07585952799704454,0.14466235571529423
A38m_L,2.359846784318998,0.01862702820142425,0.072022747987168
A38m_R,1.9619896782808426,0.05026211546274576,0.1119190226284192
A41/42_L,1.0940909286034024,0.27438885936270835,0.32766824953022455
A41/42_R,1.6186085289270649,0.1060986036900845,0.17284938084609794
TE1.0/TE1.2_L,1.1284255882029761,0.2596268936825268,0.3115522724190321
TE1.0/TE1.2_R,2.4681865670381415,0.013879768819830614,0.05990216016979528
A22c_L,1.771367163729133,0.07704739228233938,0.1449949430238666
A22c_R,1.4259053945588513,0.15445684398145762,0.2162054859643789
A38l_L,3.2712248137854756,0.001137178397737177,0.017484117865209092
A38l_R,0.5705133869429984,0.5685600277696972,0.6002822610787361
A22r_L,2.0907925676999715,0.03700010098662233,0.1000620730812837
A22r_R,1.8888964098094492,0.0594258892796791,0.12030434446058212
A21c_L,3.203363812162312,0.0014360864969326739,0.020781016367378693
A21c_R,2.938689662658057,0.0034328546541487867,0.03377928979682406
A21r_L,1.9884496026135603,0.04725180222416163,0.1107042223537501
A21r_R,1.3364873847921035,0.1819366762825569,0.24192660738112967
A37dl_L,1.9405949913909128,0.052812541767788775,0.11297291543370469
A37dl_R,2.145250490982441,0.03236532155150261,0.09594554907831084
aSTS_L,3.101013942627405,0.002026344738294172,0.024405318240904007
aSTS_R,2.4456489490031514,0.014768193690260775,0.06157585843735849
A20iv_L,1.0352249406624137,0.3010139132146062,0.35085189827151425
A20iv_R,2.0020242284813166,0.04576738282505969,0.10978610915762457
A37elv_L,0.6116120143360083,0.5410444796401557,0.5736937154805098
A37elv_R,0.4356665920159984,0.6632477329519582,0.6884343557222857
A20r_L,1.0826673702425038,0.2794253981949432,0.33207076307225136
A20r_R,1.282760344294347,0.20011053830500203,0.26046133557158996
A20il_L,1.4251200445754584,0.1546835997143524,0.2162054859643789
A20il_R,0.9643145073220097,0.3353074907670458,0.3836541522264803
A37vl_L,1.2762638942462168,0.2023950974749769,0.2620483893623385
A37vl_R,1.1811159351224103,0.23806164741433702,0.2913590311638155
A20cl_L,1.491147525959217,0.1364898748318055,0.20349399520378272
A20cl_R,0.7824736501624677,0.4342693831076999,0.4762197031972891
A20cv_L,-0.467863967734986,0.6400652056343241,0.668691041313582
A20cv_R,0.842703039631824,0.3997569026777731,0.4429738651294242
A20rv_L,1.2370963234111567,0.21657355939666872,0.27044210970345434
A20rv_R,0.7802652506818685,0.43556680170483764,0.4762197031972891
A37mv_L,1.4179120957079971,0.1567766225438935,0.216898438489506
A37mv_R,1.5006091695540809,0.13402431018782224,0.20226981782947406
A37lv_L,1.4346917499501817,0.1519371782975196,0.2157694334005743
A37lv_R,1.6316727569255371,0.10331467133751372,0.1694360609935225
